Airline_name,Airport_name,Average_departure_delay
"Southwest Airlines Co.: WN","Bellingham, WA: Bellingham International",18.318181818181817
"Spirit Air Lines: NK","Boston, MA: Logan International",24.959731543624162
"Delta Air Lines Inc.: DL","Appleton, WI: Appleton International",26.516129032258064
"Alaska Airlines Inc.: AS","Adak Island, AK: Adak",31.5
"PSA Airlines Inc.: OH","Jacksonville/Camp Lejeune, NC: Albert J Ellis",37.083333333333336
"Envoy Air: MQ","Richmond, VA: Richmond International",49.05555555555556
"SkyWest Airlines Inc.: OO","Vernal, UT: Vernal Regional",55.094339622641506
"Hawaiian Airlines Inc.: HA","Boston, MA: Logan International",72.11111111111111
"Republic Airline: YX","Houston, TX: George Bush Intercontinental/Houston",86
"Frontier Airlines Inc.: F9","Green Bay, WI: Green Bay Austin Straubel International",107.76923076923077
"United Air Lines Inc.: UA","South Bend, IN: South Bend International",143
"JetBlue Airways: B6","Houston, TX: George Bush Intercontinental/Houston",146.95348837209303
"Endeavor Air Inc.: 9E","Lansing, MI: Capital Region International",164.4
"Allegiant Air: G4","Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",226.44444444444446
"American Airlines Inc.: AA","South Bend, IN: South Bend International",506.5
