Airport_name,Cancellation_reason,Number_of_cancellations
"Abilene, TX: Abilene Regional",Weather,2
"Adak Island, AK: Adak",Weather,1
"Albany, NY: Albany International","National Air System",1
"Albuquerque, NM: Albuquerque International Sunport",Carrier,4
"Alexandria, LA: Alexandria International",Weather,1
"Amarillo, TX: Rick Husband Amarillo International",Weather,3
"Anchorage, AK: Ted Stevens Anchorage International",Weather,8
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,10
"Asheville, NC: Asheville Regional",Carrier,1
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,14
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Carrier,35
"Atlantic City, NJ: Atlantic City International",Carrier,15
"Austin, TX: Austin - Bergstrom International",Carrier,9
"Bakersfield, CA: Meadows Field",Weather,3
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Carrier,24
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,4
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Weather,2
"Bellingham, WA: Bellingham International",Carrier,1
"Bethel, AK: Bethel Airport",Weather,2
"Birmingham, AL: Birmingham-Shuttlesworth International",Carrier,5
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,1
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Weather,1
"Boise, ID: Boise Air Terminal",Carrier,2
"Boston, MA: Logan International",Carrier,15
"Brownsville, TX: Brownsville South Padre Island International","National Air System",1
"Buffalo, NY: Buffalo Niagara International",Weather,3
"Burbank, CA: Bob Hope",Carrier,16
"CONCORD, NC: Concord Padgett Regional",Carrier,1
"Casper, WY: Casper/Natrona County International",Weather,1
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Weather,4
"Charleston, SC: Charleston AFB/International",Carrier,5
"Charlotte Amalie, VI: Cyril E King",Carrier,5
"Charlotte, NC: Charlotte Douglas International",Carrier,17
"Chattanooga, TN: Lovell Field",Weather,2
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",Weather,1
"Chicago, IL: Chicago Midway International",Carrier,5
"Chicago, IL: Chicago O'Hare International",Carrier,38
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Carrier,5
"Cleveland, OH: Cleveland-Hopkins International",Carrier,8
"College Station/Bryan, TX: Easterwood Field",Weather,1
"Colorado Springs, CO: City of Colorado Springs Municipal",Weather,6
"Columbia, MO: Columbia Regional",Weather,1
"Columbia, SC: Columbia Metropolitan","National Air System",1
"Columbus, OH: John Glenn Columbus International",Carrier,5
"Cordova, AK: Merle K Mudhole Smith",Carrier,1
"Corpus Christi, TX: Corpus Christi International",Weather,4
"Dallas, TX: Dallas Love Field",Carrier,21
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Weather,342
"Dayton, OH: James M Cox/Dayton International",Weather,1
"Denver, CO: Denver International",Weather,58
"Des Moines, IA: Des Moines International",Carrier,2
"Detroit, MI: Detroit Metro Wayne County",Carrier,20
"Devils Lake, ND: Devils Lake Regional","National Air System",4
"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",Weather,4
"Dodge City, KS: Dodge City Regional",Weather,1
"Duluth, MN: Duluth International",Weather,1
"El Paso, TX: El Paso International",Weather,5
"Eugene, OR: Mahlon Sweet Field",Carrier,3
"Evansville, IN: Evansville Regional",Weather,1
"Fairbanks, AK: Fairbanks International",Carrier,1
"Fargo, ND: Hector International",Weather,2
"Fayetteville, AR: Northwest Arkansas Regional",Weather,3
"Fayetteville, NC: Fayetteville Regional/Grannis Field",Weather,1
"Flagstaff, AZ: Flagstaff Pulliam",Carrier,1
"Fort Dodge, IA: Fort Dodge Regional",Carrier,1
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Carrier,19
"Fort Myers, FL: Southwest Florida International",Carrier,14
"Fort Smith, AR: Fort Smith Regional",Weather,2
"Fort Wayne, IN: Fort Wayne International",Carrier,1
"Fresno, CA: Fresno Yosemite International",Weather,3
"Gainesville, FL: Gainesville Regional",Carrier,1
"Garden City, KS: Garden City Regional",Weather,5
"Gillette, WY: Gillette Campbell County",Weather,4
"Grand Island, NE: Central Nebraska Regional",Weather,3
"Grand Junction, CO: Grand Junction Regional",Weather,2
