Flight_date,Flights_count,Average_flights
NULL,1,1.0000
2023-10-01,19899,19899.0000
2023-10-02,20186,20042.5000
2023-10-03,18291,19458.6667
2023-10-04,18742,19073.0000
2023-10-05,20430,19154.3333
2023-10-06,20372,19848.0000
2023-10-07,17305,19369.0000
2023-10-08,19992,19223.0000
2023-10-09,20340,19212.3333
2023-10-10,19058,19796.6667
2023-10-11,19244,19547.3333
2023-10-12,20431,19577.6667
2023-10-13,20334,20003.0000
2023-10-14,17269,19344.6667
2023-10-15,19989,19197.3333
2023-10-16,20345,19201.0000
2023-10-17,19049,19794.3333
2023-10-18,19255,19549.6667
2023-10-19,20434,19579.3333
2023-10-20,20330,20006.3333
2023-10-21,17234,19332.6667
2023-10-22,19991,19185.0000
2023-10-23,20287,19170.6667
2023-10-24,19010,19762.6667
2023-10-25,19154,19483.6667
2023-10-26,20390,19518.0000
2023-10-27,20267,19937.0000
2023-10-28,16495,19050.6667
2023-10-29,18877,18546.3333
2023-10-30,18942,18104.6667
2023-10-31,17026,18281.6667
